LCSC Part Number,Manufacture Part Number,Manufacturer,Package,Customer #,Description,RoHS,Order Qty.,Min\Mult Order Qty.,Unit Price($),Ext.Price($),Product Link
C49678,CC0805KRX7R9BB104,YAGEO,805,,50V 100nF X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,100,100,0.0045,0.45,https://www.lcsc.com/product-detail/multilayer-ceramic-capacitors-mlcc-smd-smt_yageo-cc0805krx7r9bb104_C49678.html
C1713,CL21A106KOQNNNE,Samsung Electro-Mechanics,805,,16V 10uF X5R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,20,20,0.0079,0.16,https://www.lcsc.com/product-detail/multilayer-ceramic-capacitors-mlcc-smd-smt_samsung-electro-mechanics-cl21a106koqnnne_C1713.html
C77072,GRM21BR60J476ME15L,Murata Electronics,805,,6.3V 47uF X5R ±20% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,10,10,0.0509,0.51,https://www.lcsc.com/product-detail/multilayer-ceramic-capacitors-mlcc-smd-smt_murata-electronics-grm21br60j476me15l_C77072.html
C5149201,SK6812MINI-E,OPSCO Optoelectronics,SMD,,SMD RGB LEDs(Built-in IC) ROHS,yes,95,5,0.068,6.46,https://www.lcsc.com/product-detail/rgb-leds-built-in-ic_opsco-optoelectronics-sk6812mini-e_C5149201.html
C2128,1N4148WS,"Jiangsu Changjing Electronics Technology Co., Ltd.",SOD-323,,100V Independent Type 1.25V@150mA 4ns 150mA SOD-323 Switching Diodes ROHS,yes,100,50,0.0081,0.81,https://www.lcsc.com/product-detail/switching-diodes_jiangsu-changjing-electronics-technology-co-ltd-1n4148ws_C2128.html
C5875740,APT2012CGCK,Kingbright,805,,20mA Colorless Transparent Lens 50mcd 570nm Green 2.1V 0805 LED Indication - Discrete ROHS,yes,5,5,0.1159,0.58,https://www.lcsc.com/product-detail/led-indication-discrete_kingbright-apt2012cgck_C5875740.html
C19274017,HC-TYPE-C-16P-026W,Hong Cheng,SMD,,3A 1 Horizontal attachment 16P Female -25℃~+85℃ Type-C SMD USB Connectors ROHS,yes,5,5,0.0881,0.44,https://www.lcsc.com/product-detail/usb-connectors_hong-cheng-hc-type-c-16p-026w_C19274017.html
C6332198,HB-PH3-25415PB2GOP,Hanbo Electronic,"Plugin,P=2.54mm",,"Gold 250V 3A Straight Policy 2.54mm 5P 6mm -40℃~+105℃ 3mm 2.54mm Brass Black Single Row 2.54mm 1x5P Plugin,P=2.54mm Pin Headers ROHS",yes,20,20,0.0242,0.48,https://www.lcsc.com/product-detail/pin-headers_hanbo-electronic-hb-ph3-25415pb2gop_C6332198.html
C2907326,FRC0805J472 TS,FOJAN,805,,0.125W Thick Film Resistors 150V ±100ppm/℃ ±5% 4.7kΩ 0805 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0013,0.13,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_fojan-frc0805j472-ts_C2907326.html
C122968,RT0805BRD075K1L,YAGEO,805,,125mW Thin Film Resistor 150V ±25ppm/℃ ±0.1% 5.1kΩ 0805 Chip Resistor - Surface Mount ROHS,yes,20,20,0.034,0.68,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_yageo-rt0805brd075k1l_C122968.html
C17617,0805W8F3000T5E,UNI-ROYAL(Uniroyal Elec),805,,0.125W Thick Film Resistors 150V ±100ppm/℃ ±1% 300Ω 0805 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0019,0.19,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_uni-royal-uniroyal-elec-0805w8f3000t5e_C17617.html
C84681,CH340C,WCH(Jiangsu Qin Heng),SOP-16,,2Mbps Transceiver USB 2.0 SOP-16 USB Converters ROHS,yes,1,1,0.5371,0.54,https://www.lcsc.com/product-detail/usb-converters_wch-jiangsu-qin-heng-ch340c_C84681.html
C639770,MCP23017-E/ML,Microchip Tech,QFN-28-EP(6x6),,16 QFN-28-EP(6x6) I/O Expanders ROHS,yes,1,1,2.5154,2.52,https://www.lcsc.com/product-detail/i-o-expanders_microchip-tech-mcp23017-e-ml_C639770.html
C7465461,YG-L22W22H3PBSY11,YG,-,,Heat sink / cooling fin ROHS,yes,12,12,0.0215,0.26,https://www.lcsc.com/product-detail/heat-sink-cooling-fin_yg-yg-l22w22h3pbsy11_C7465461.html
,,,,,,,,,total ,14.21,
