Designator,Mid X,Mid Y,Rotation,Layer
D1,203.35,-140.19,0.0,bottom
D2,212.25,-136.39,90.0,bottom
D3,229.95,-136.49,90.0,bottom
D4,261.75,-140.19,180.0,bottom
D5,209.85,-146.690001,270.0,bottom
D6,212.35,-146.7,270.0,bottom
D7,229.95,-146.690001,270.0,bottom
D8,266.9,-146.86,270.0,bottom
O1,213.265,-113.815,180.0,top
SW1,201.51,-132.03,0.0,top
SW2,201.51,-151.03,0.0,top
SW3,220.51,-132.03,0.0,top
SW4,220.51,-151.03,0.0,top
SW5,239.51,-131.95,0.0,top
SW6,239.51,-151.03,0.0,top
SW7,258.51,-151.03,0.0,top
SW8,258.3,-131.95,0.0,top
U1,228.070157,-120.386464,45.0,bottom
